yawrate,speed,course,latitude,longitude,altitude
-0.4869,48.64,28.59,51.040243,13.793098,115.53
-0.5565,48.64,28.59,51.040243,13.793098,115.53
-0.5565,48.64,28.59,51.040254,13.793107,115.53
-0.5565,48.63,28.72,51.040254,13.793107,115.66
-0.626,48.63,28.72,51.040254,13.793107,115.66
-0.6956,48.63,28.72,51.040254,13.793107,115.66
-0.3478,48.63,28.72,51.040254,13.793107,115.66
-0.6956,48.63,28.72,51.040254,13.793107,115.66
-0.8347,48.62,28.62,51.040264,13.793116,115.8
-0.4173,48.62,28.62,51.040264,13.793116,115.8
-0.3478,48.62,28.62,51.040264,13.793116,115.8
-0.6956,48.62,28.62,51.040264,13.793116,115.8
-0.4869,48.62,28.62,51.040264,13.793116,115.8
0.2782,48.58,28.67,51.040274,13.793125,115.93
0.0,48.58,28.67,51.040274,13.793125,115.93
0.0695,48.58,28.67,51.040274,13.793125,115.93
-0.0695,48.58,28.67,51.040274,13.793125,115.93
0.0695,48.58,28.67,51.040274,13.793125,115.93
0.0,48.56,28.91,51.040284,13.793135,116.13
-0.3478,48.56,28.91,51.040284,13.793135,116.13
-0.4869,48.56,28.91,51.040284,13.793135,116.13
0.0,48.56,28.91,51.040284,13.793135,116.13
-0.2086,48.56,28.91,51.040284,13.793135,116.13
-0.0695,48.53,28.94,51.040294,13.793144,116.32
-0.0695,48.53,28.94,51.040294,13.793144,116.32
-0.1391,48.53,28.94,51.040294,13.793144,116.32
-0.0695,48.53,28.94,51.040294,13.793144,116.32
-0.3478,48.53,28.94,51.040294,13.793144,116.32
-0.3478,48.56,28.93,51.040304,13.793154,116.48
-0.3478,48.56,28.93,51.040304,13.793154,116.48
-0.2086,48.56,28.93,51.040304,13.793154,116.48
-0.4869,48.56,28.93,51.040304,13.793154,116.48
-0.0695,48.56,28.93,51.040304,13.793154,116.48
-0.2782,48.58,28.73,51.040315,13.793163,116.67
-0.0695,48.58,28.73,51.040315,13.793163,116.67
-0.4173,48.58,28.73,51.040315,13.793163,116.67
-0.5565,48.58,28.73,51.040315,13.793163,116.67
